term,2014-10-15,2014-10-22,2014-10-01,2014-10-08
drumline,0,33,1,1
drunks,4,0,3,1
dscc,1,6,1,0
du,0,1,2,8
du1,1,0,2,1
dual,0,3,1,43
dubious,3,3,1,0
dublin,0,3,16,38
ducking,0,1,2,1
ducks,18,15,0,2
dudek,1,0,3,2
duds,1,1,0,4
due2,1,1,0,1
dueling,0,1,3,3
dueprocess,1,2,2,0
dueño,1,1,0,2
dug,1,0,1,3
duggie,1,1,1,0
dugout,2,1,0,1
dull,0,1,1,1
dum,1,0,1,1
dumbassery,1,1,0,1
dumbfounded,1,3,1,0
dumbo,0,2,1,1
dumbshit,2,1,0,1
dumped,0,8,4,3
dumping,1,2,0,1
dumps,1,4,0,2
dumpster,1,2,3,0
dunbar,1,1,0,2
dundee,1,2,3,0
dunphy,0,2,1,22
duo,0,6,7,1
duped,1,6,0,1
dupree,0,14,2,1
duration,1,0,1,1
durham,5,9,0,1
dusk,3,0,12,1
dutchjackson1,2,2,2,0
dutchman,2,2,0,50
dwayne,3,2,5,0
dwb,1,6,0,3
dwell,3,1,28,0
dwight,0,7,1,1
dwindling,0,3,1,1
dyche,215,1,0,6
dyke,0,1,2,6
dykes,2,2,0,2
dynamictunez,4,3,0,2
dynastylnoire,2,14,1,0
dyson,0,1,2,1
dystopia,0,1,1,3
dаting,3,0,3,4
dоwn,3,0,3,1
e140tweet,2,0,5,17
eagerly,1,2,0,3
eagle_vision,2,5,1,0
eamon,0,1,1,19
eamonnholmes,0,1,1,3
earnest,1,2,0,1
earnest_one,0,1,2,1
eastside,3,2,3,0
ebolas,0,1,1,1
ecb,3,2,1,0
echoing,1,1,0,4
eclectic,1,3,1,0
eclipse,0,3,1,6
eco,0,1,2,1
econ,3,2,0,2
economically,8,1,0,7
economist,0,5,1,3
ecsullie,0,3,37,48
edasante77,1,2,0,5
edcarman,1,2,2,0
eden,4,1,0,2
edgy,0,135,1,2
edl,0,1,2,2
edm,1,4,0,6
edmecka,1,0,2,1
edreggi,1,3,0,3
edsu,3,0,1,1
edt,0,3,2,5
edwardarowe1,0,1,1,1
edwin,6,0,2,6
een,0,1,2,1
effected,0,2,2,3
effectiveness,1,1,1,0
effed,1,1,1,0
egging,1,1,0,1
eggs,6,3,0,7
egos,0,2,2,5
eighteen,1,1,1,0
einstein,2,4,0,3
el_jemedari,1,0,1,1
elbows,2,0,2,1
elders,0,3,2,15
eldridge,1,2,0,2
eleanor,5,2,0,1
electedmob,1,3,0,2
electeds,1,1,0,2
electoral,0,1,2,5
electronic,0,1,28,5
elements,3,6,0,4
eleven,1,2,0,1
elie,1,1,1,0
elijah,0,14,2,3
eliminated,26,0,2,1
eliminating,1,0,1,1
elinortatum,0,1,2,2
elitist,3,2,1,0
elk,1,1,0,1
ellevarner,1,0,3,8
elude,1,2,0,1
elusive,1,1,0,2
elvin2817,1,1,0,2
emailed,2,1,0,1
emanuelewithane,4,0,4,14
embarassing,1,1,0,1
embed,0,1,1,3
embedded,0,22,3,3
embodied,1,1,0,2
embodiment,3,0,4,1
embody,1,0,1,4
emboldened,0,1,1,5
embraced,3,2,0,3
embraces,0,2,5,54
emerge,20,13,5,0
emile,1,0,3,1
eminem,0,5,4,4
eminence,3,0,1,4
emmagrashun,1,0,1,13
emmerdale,1,1,2,0
emmett,0,3,3,2
emmy,1,0,1,1
emphasize,2,0,4,2
employing,1,1,2,0
emptied,1,2,0,1
emulating,31,2,2,0
enable,3,6,0,3
enabled,1,3,0,2
enablers,1,1,0,2
enabling,3,3,0,1
enacted,1,0,1,1
enacting,0,1,1,1
encore,0,1,1,1
encountered,5,2,0,4
endangerment,5,1,0,3
endangers,1,1,1,0
endemic,2,1,4,0
endhate,4,1,0,2
endings,1,1,0,1
endnra,0,1,3,3
endorse,1,4,1,0
endpoverty,0,1,1,1
endurance,0,2,3,2
enduring,1,2,0,2
endzone,1,1,1,0
energetic,0,1,1,5
enewsletter,1,2,2,0
enforcements,1,2,0,1
eng,1,1,0,2
engadget,0,2,1,4
engagejoe,1,1,0,10
engineer,1,2,0,1
engineered,0,1,1,1
enhance,1,0,1,1
enlightened,0,2,1,1
enlightening,4,0,3,1
enlist,1,0,1,3
enmanuel_brown,0,2,2,2
enquirer,1,0,1,1
enrage,3,2,0,5
enriched,1,2,0,1
enrique,1,2,0,1
enrollment,1,2,1,0
enslavement,0,2,2,1
enslaving,1,2,1,0
ensued,5,2,0,1
ensuring,5,0,4,4
ent,3,2,2,0
enterovirus,4,0,6,9
enterprise,2,0,1,1
enticing,1,1,0,1
entitlement,6,6,0,9
entitlements,0,3,3,1
entrant,1,1,0,1
entrepreneurship,1,0,1,1
entrusted,1,1,0,1
environments,0,2,2,2
eo,2,0,1,1
eopiniontv,1,0,3,3
epicfail,1,1,0,1
epimetheusmedia,5,1,0,6
episcopales,0,1,2,1
episodes,0,5,3,1
equalrights,2,1,0,4
equip,4,5,2,0
equitable,0,2,1,1
equity,5,3,0,6
ergenia,0,5,2,4
ergo,1,0,1,2
erica_franky,4,3,0,3
ericgardner,2,3,0,2
ericguster,7,2,3,0
erickasimone,1,1,1,0
erik,1,3,0,2
erin,1,0,1,1
erm,0,3,2,1
ernestmorrell,5,0,1,1
erosion,1,0,1,2
erroneously,0,2,2,6
erupting,0,1,1,2
erwin,1,3,2,0
escalates,1,1,0,2
escalation,0,6,4,5
escaped,4,3,0,4
escaping,2,2,2,0
espncfb,3,1,1,0
espnnfl,0,1,1,1
espnuk,0,2,1,3
esq,2,0,1,1
esque,4,5,0,2
essays,2,2,0,2
essence_debates,2,1,0,2
establishes,1,3,1,0
establishing,1,1,4,0
esteem,2,5,0,3
estimates,1,1,0,4
eta,1,1,1,0
etanthomas36,3,0,1,1
eternity,1,0,1,2
ethnicities,1,0,1,3
etiquette,1,0,1,1
euan,1,0,3,5
eugene,0,3,4,4
eulogy,1,2,0,2
euphemism,1,3,0,1
eurosportcom_en,0,4,2,4
eurweb,4,1,1,0
evacuation,0,3,136,9
evade,1,1,0,1
evaluate,3,1,0,3
evaluation,1,0,4,3
evanwoodson,1,1,0,1
eveleroi,1,1,0,1
evens,1,0,1,1
evers,1,3,1,0
everynight,1,3,3,0
everythingrhymeswithalcohol,1,2,0,2
everytown,0,2,3,8
evid,1,1,2,0
eviljeanyis,0,1,6,2
evolve,10,8,0,64
evolves,0,2,1,1
evra,82,23,14,0
ewerickson,1,2,0,2
ewww,1,1,0,1
exaggerating,0,1,1,2
exaltb2,1,1,0,3
exam,0,5,4,1
examinet,1,0,1,1
examining,0,3,9,3
exams,2,1,0,2
exc,0,2,1,1
excelsior,2,0,1,4
exceptional,1,2,2,0
exceptionalism,2,0,1,1
exceptions,3,1,1,0
excerpts,0,1,2,4
excessively,0,1,2,2
exchanged,0,25,3,3
excluded,1,2,1,0
exclusively,0,1,1,5
exculpatory,1,2,1,0
excused,0,2,2,1
excusing,0,3,1,3
executes,1,0,1,3
exhibits,2,1,0,1
exile,3,1,0,2
existent,2,1,0,1
existential,2,0,16,1
exited,0,4,2,1
exiting,2,2,1,0
exits,3,7,0,1
exjon,2,3,0,5
exonerate,7,10,4,0
expanded,1,5,0,6
expanding,2,2,0,1
expansion,1,0,4,4
expectation,1,1,0,5
expense,0,5,1,4
expired,0,2,1,2
explicit,7,5,0,1
exploded,0,17,1,8
exponentially,1,2,0,3
export,2,1,0,5
expos,1,2,0,1
expresses,0,1,3,2
ext,0,1,2,6
extension,3,0,4,4
extensive,2,6,1,0
extent,5,7,0,6
exterminate,1,0,2,2
extermination,1,2,0,2
external,2,0,1,2
extract,0,3,2,2
extremism,1,5,0,2
eyebrow,2,1,1,0
eyefloodpanties,0,4,2,1
eyesoftheworld,0,3,1,2
ezraklein,2,9,0,2
f2f,1,1,0,3
f365,3,0,1,2
faa,0,1,2,1
fab,0,2,3,4
fabregas,1,39,1,0
fabric,2,1,0,7
fabricate,1,5,2,0
fabricated,3,4,2,0
fabricating,1,1,0,2
fabrication,3,3,0,2
fabucat,1,0,2,1
facade,3,1,1,0
facets,0,1,1,1
facilitate,0,2,11,2
facilities,1,1,0,3
faction,1,0,1,1
factory,1,0,1,3
factual,4,9,0,7
factually,1,0,2,2
fading,0,1,2,13
fairs,1,1,1,0
faithful,2,2,0,4
faked,0,1,4,3
fakes,5,2,0,2
fakesportscentr,2,1,1,0
faketestors,2,7,0,3
faking,0,1,1,2
fallacious,2,1,0,3
fallacy,2,4,2,0
fallontonight,1,0,1,2
falloutmagiboy,1,1,6,0
fallujah,4,2,0,2
falsifying,2,2,0,7
famblog,1,1,2,0
famer,16,2,0,1
famiilypretty,4,0,3,10
famine,1,1,0,1
fancies,3,1,0,1
fanned,2,7,0,1
fannieloudems,3,2,4,0
fanny,1,1,2,0
fantasyfootball,2,0,2,1
farfromover,0,2,1,3
fargo,0,9,1,4
farlin,1,3,0,1
farmersmarket,3,0,2,1
farming,0,2,2,2
farnham,2,0,1,1
farrahfazal,4,0,1,10
farted,2,1,0,2
farttocontinue,3,1,0,1
fata,1,0,1,2
fatal_shooting,4,0,2,4
fatalitiess,0,2,1,2
fatbellybella,1,0,3,3
favor8art,1,0,1,1
favorably,2,2,0,1
fbistlouis,5,5,0,4
fearmongering,4,3,0,1
feathers,1,2,0,3
featurednews,1,0,2,2
features,10,0,6,9
feces,2,2,0,3
fedarro,2,1,0,2
federal_flashes,2,5,0,3
fedora,1,1,0,9
feduphairlossthin,1,0,1,1
fedupofpollys,0,1,1,1
feeble,0,3,1,2
feeder,1,1,0,1
feeguson,0,1,1,1
felix,1,1,1,0
fellaini,0,2,1,1
fellows,4,1,0,1
fellowship,2,3,0,4
felonies,2,7,0,2
ferg4moore,4,0,4,4
fergalicious,0,2,2,1
ferganistan,1,0,1,1
fergeson,1,1,0,2
fergflorschools,2,0,4,2
fergi,1,4,0,2
fergietime,1,2,0,1
fergunson,0,1,1,1
fergurson,1,0,5,3
ferguson13,1,0,32,1
ferguson2014,4,0,1,1
ferguson2palestine,3,1,0,18
ferguson_ii,0,1,2,9
fergusonbrewing,4,1,2,0
fergusoncircus,7,26,0,1
fergusonfriday,1,0,2,1
fergusoninparis,2,6,0,11
fergusonlib,1,1,0,1
fergusonlibrary,0,2,3,2
fergusonlivestream,1,2,0,31
fergusonmissouri,0,4,3,2
fergusonnews,0,2,2,3
fergusonnovember,2,1,0,1
fergusonpolicechief,1,0,6,1
fergusonpolicedepartment,3,5,0,3
fergusonprotest,2,4,0,6
fergusonrebellion,1,0,2,1
fergusonrevolution,29,4,0,113
fergusonrus,26,6,0,1
fergusonsafaripark,0,3,8,5
fergusonscoop,1,1,0,2
fergusonunity,2,0,6,17
fergusson,0,2,3,3
ferrell,0,1,1,5
ferry,2,3,0,1
fervor,0,1,12,2
fester,1,0,1,1
festivities,1,1,0,2
festus,2,0,1,4
fetal,1,1,1,0
fetch,1,0,2,1
fetchedfar,1,2,0,1
fetishize,1,1,0,1
fetuses,1,0,1,5
feuding,0,2,2,1
fickle,0,3,1,1
fierce,3,1,0,9
fiery,0,20,1,6
fierymadredhead,14,11,0,1
fieryreddragon,3,0,1,3
fifaworldcup,3,0,4,1
fife,0,3,1,5
fig,0,1,1,1
fightfor15,7,0,3,24
figuratively,1,0,1,3
filippo,0,2,1,1
fills,0,1,3,1
filmmaker,4,1,2,0
filmthepolice,3,0,7,7
filtering,1,2,0,1
fina,1,0,1,2
finale,2,1,2,0
finalist,1,2,2,0
finalists,5,2,2,0
finality,1,0,2,1
finalize,0,2,1,1
finallevel,2,0,2,2
fiona,3,0,3,80
firechat,2,0,2,5
firefox,1,2,0,1
firemen,2,2,0,1
firepower,2,1,1,0
firethemall,0,1,4,1
firmly,4,2,0,5
firms,0,1,1,2
firstamendment,0,2,10,2
firstnations,0,1,1,5
fistup,2,1,4,0
fithian,9,2,0,19
fitoz33,2,2,0,1
fiu,3,0,1,1
fivefifths,0,3,5,4
fizzle,2,2,0,1
fk,0,4,2,4
fkn,0,9,1,4
fks,3,2,0,1
fl0wn_,1,2,1,0
fla,1,0,2,4
flack,3,3,4,0
flagging,1,1,0,1
flame314,3,1,0,1
flaming,3,1,0,2
flank,1,1,0,1
flashing,1,0,2,4
flashlights,2,2,0,1
flashpoint,2,2,0,24
flavorwire,5,0,1,1
flaws,0,5,3,3
fled,6,0,3,2
flemish,1,2,1,0
fletch,2,1,1,0
flex,0,1,3,5
flexible,0,1,1,1
flexing,0,1,2,2
flick,3,1,0,3
flickr,1,1,1,0
flier,38,445,0,1
flies,0,10,3,6
flinch,1,1,0,2
floating,1,4,0,3
floodwallstreet,0,1,3,2
floored,1,0,2,2
floors,0,3,2,4
flops,1,4,0,1
flor,1,1,0,1
florals,1,0,1,1
florence,0,1,3,1
flotus,8,0,2,7
flowing,4,2,0,1
floydmayweather,1,0,2,1
flurry,1,0,3,2
flushed,2,2,0,1
flushgop,7,4,0,2
fmr,2,4,0,1
fn,3,0,2,1
fnc,1,2,0,1
focuses,3,8,8,0
fodder,1,3,0,2
foe,3,0,1,2
foggy,0,1,5,1
foia,0,1,44,5
foias,1,1,0,1
fol,2,1,1,0
foley,0,2,4,2
follo,0,1,1,4
follow4follow,4,2,2,0
follow4numbers,1,1,3,0
followme4followback,3,2,1,0
foment,0,4,2,3
fomenting,1,4,1,0
foo,3,0,1,3
foodstamps,0,2,2,8
foolishly,3,0,2,1
footbal,1,0,2,1
footballfunnys,3,0,7,4
footballnews,3,4,0,15
footsteps,1,2,0,5
footy,0,17,2,2
footyfriday,1,1,0,1
foraging,2,1,1,0
forcefully,5,1,0,1
fore,3,2,0,3
forecast,0,1,1,2
forefathers,1,1,0,2
foreigners,0,2,1,1
foreignpolicy,1,2,1,0
foremost,1,2,0,1
foresee,0,2,2,1
foreshadowing,0,1,1,1
forex,35,52,0,1
forfeited,1,1,0,3
forharriet,1,1,0,13
fork,1,0,2,2
formal,0,3,3,5
format,1,6,0,2
forme,1,14,0,3
forpeace,0,1,2,2
forrester,1,1,1,0
forthdistrict,1,1,1,0
fortitude,0,1,1,3
fortruthssake,1,1,0,3
fortunes,0,49,1,9
fostered,2,2,1,0
foundations,1,3,1,0
fountain,2,0,3,10
fowl,0,1,1,1
fox2,5,0,1,2
fox4kc,1,1,0,1
fox5atlanta,1,2,0,1
foxbusiness,1,0,1,1
foxnation,2,7,0,1
foxsports,1,2,0,1
foz,0,1,1,2
frames,1,9,2,0
francesrobles,1,0,1,1
franchises,1,0,1,2
frankie,2,0,1,2
franky,12,5,0,1
fraser,1,0,1,2
fraternities,1,1,0,1
fraudulent,0,2,1,1
freaky,2,1,0,1
fredrick,1,3,0,3
freebeacon,4,7,0,2
freedom4gaza,2,0,1,1
freedomfoa,1,1,0,1
freedomofspeech,1,1,1,0
freedomside,1,2,0,7
freedomworks,1,2,1,0
freeman,3,1,0,4
freemarissa,1,0,3,2
freepress,1,0,1,1
freerepublic,4,3,0,3
freight,1,4,0,1
frenzy,5,4,0,15
frequency,1,7,0,1
frequent,1,0,1,5
fresco,1,1,0,2
fresno,3,3,10,0
freе,1,0,3,1
frfr,2,0,2,2
fridays,3,5,1,0
friere,2,1,1,0
fries,0,1,1,2
frightened,3,1,0,132
fringe,4,3,1,0
frisbee,0,26,1,2
frisco,2,0,1,1
frisked,1,1,0,1
frist,1,1,1,0
frivolous,1,0,1,1
frog,2,2,3,0
fronts,1,1,0,2
frostie,21,0,136,103
frozen,0,4,2,1
fruits,1,0,1,2
frеe,1,0,1,3
fsu,1,0,1,2
fubar,0,1,1,21
fucc,1,1,1,0
fuck12,3,1,0,5
fuckboy,2,1,0,1
fuckdarrenwilson,2,1,2,0
fuckferguson,1,3,0,2
fuckoff,1,0,6,8
fucktards,1,2,1,0
fuckwits,1,1,0,1
fukkkin,2,0,1,1
fulfilled,1,0,1,1
fulfilling,1,0,2,3
fullofcrap,1,0,2,1
fulton,2,1,0,5
functional,1,1,0,2
functions,1,1,1,0
fundamentally,1,2,0,1
fundraisers,0,2,5,7
fundrazr,0,2,4,2
funerals,1,3,1,0
funfacts,1,0,1,1
funkflex,3,1,4,0
funky,0,1,9,3
funnier,1,0,3,2
fuq,1,5,0,4
furthering,1,1,0,1
fuss,3,2,0,1
fvck,1,1,0,1
fwiw,2,0,4,1
fx,1,1,0,1
fyifergyouth,12,0,11,4
ga123,1,1,3,0
gaa,2,16,0,7
gabby,2,1,1,0
gadget,1,1,0,1
gaf,2,2,0,4
gag,1,1,0,1
gaga,1,22,0,2
gaggle,2,1,1,0
gains,6,3,1,0
gal,3,0,3,2
gala,16,4,5,0
galaxy,8,0,2,9
gallagher,1,1,0,3
galleria,1,1,0,3
galore,1,0,1,2
gals,0,2,2,2
galvez,1,0,2,3
galvezmiro,0,1,1,2
gameover,1,1,2,0
gamergaters,2,1,0,2
gaming,3,2,0,3
gander,1,0,1,2
gangbanging,2,0,3,7
gangstas,2,4,0,1
gapol,5,44,1,0
gaps,2,4,5,0
garage,2,3,0,2
gardner,0,2,1,1
garrison,1,2,0,1
garry,1,1,1,0
garvey,2,0,1,6
gasoline,0,7,3,1
gat,2,2,0,58
gatherings,1,1,2,0
gathers,1,1,0,15
gator,1,1,0,49
gauge,1,2,0,2
gavin,0,3,1,2
gawd,0,4,1,3
gawdduss,0,4,1,4
gaye,1,0,2,4
gaypatriot,4,2,2,0
gaze,7,1,1,0
gazette,2,1,0,4
gazillion,0,1,1,1
gbe_rj,3,6,0,1
gbengaakinnagbe,1,2,3,0
gbissellksdk,0,1,1,1
gbj,3,0,1,3
gdp,0,2,2,1
ge,1,3,0,42
gears,0,2,1,6
geek,1,0,1,1
geeks,0,4,2,1
geeoharee,1,1,0,1
geesungee,0,1,2,1
gegco,1,4,0,6
gems,1,1,0,2
gendered,0,1,1,1
generating,0,1,1,2
genesis,2,0,3,3
genetic,0,1,1,3
genetically,0,4,1,1
geniuses,0,4,1,2
geniusfootball,2,0,11,4
genknoxx,3,0,4,12
gentry,3,0,2,1
gents,1,0,1,1
genxmedia,1,1,2,0
geo,1,1,0,1
geographic,1,4,0,3
geography,13,3,0,3
georgefergusonx,2,0,3,1
gerald,1,2,1,0
gestures,1,2,5,0
geteducated,13,4,0,1
getnickwright,1,1,4,0
getswayy,1,1,1,0
gettn,1,0,1,1
gettyimages,3,0,2,3
gf,0,2,4,2
gfinity,0,1,1,2
ggers,5,0,1,2
ghettos,2,1,0,2
gi,1,2,0,2
gib,0,1,2,1
gibraltar,1,0,56,8
gif,0,1,2,1
gifs,2,1,0,1
giggles,1,4,0,1
giggling,1,1,0,1
gil,3,5,0,3
giles,20,16,0,15
gillibrand,1,0,1,2
gina,1,1,0,3
ginabelafonte,1,1,0,2
ginning,1,4,0,1
girardeau,1,0,1,4
gist,0,1,1,1
gitmo,298,0,2,12
givin,0,1,2,1
gkenzz,1,1,1,0
gl,0,1,1,2
glad_im_white,1,1,0,1
glamour,2,2,0,1
glasshess,2,0,6,11
gleason_ny,3,3,0,2
gleefully,6,2,0,9
glide,12,2,0,1
glidehoyas,3,0,1,2
glimmer,1,0,1,1
globally,0,1,5,3
globalpost,0,10,4,1
globepolitics,0,1,1,1
glock,0,3,1,3
glorialloyd,1,2,2,0
glorify,2,0,2,1
glover,0,2,10,2
glow,1,2,1,0
gmafb,0,4,2,1
goalie,2,1,1,0
goddamned,2,0,2,2
goddamnedbear,0,1,1,1
godfather,1,1,2,0
going2,1,0,2,1
goldenpipe,2,1,0,1
goldman,0,2,3,2
gomez,1,1,0,1
gona,4,3,0,2
gonn,2,1,0,1
gonzalez,0,2,19,2
goo,3,0,1,5
goodballs,1,1,0,3
goodcopsturn,2,0,3,1
goodjob,2,0,1,2
goodluck,0,2,2,2
goodmenproject,1,0,1,1
goodnews,2,0,2,2
goods,0,6,1,5
goodtimes,1,0,1,1
goodwill,1,2,0,3
googling,0,3,2,1
gooners,1,1,1,0
gopblackchick,0,5,1,2
gopfail,0,2,2,1
gophers,1,4,1,0
gopro,1,0,2,8
gopusa,8,0,3,5
gorst,2,1,0,1
gosoberuk,1,0,1,1
gostei,1,0,3,1
gota,0,2,1,2
gotmtv,1,0,1,1
gough,2,1,0,2
governance,1,1,3,0
governed,0,3,3,3
governer,1,1,0,1
governornixon,1,2,0,1
governors,1,1,0,1
govote,0,3,2,2
gps,3,0,1,5
grain,1,1,0,1
gram,1,2,0,1
grammer,1,1,1,0
gran,1,3,2,0
grandparents,3,2,0,10
grandson,10,0,1,6
grape,0,6,3,1
grapski,2,0,2,15
grasping,5,6,2,0
graves,2,3,0,1
gravy,0,1,1,1
greatlacing,16,0,6,10
greatness,4,1,0,6
greats,0,2,1,8
greece,2,3,0,6
greedkills,1,1,0,2
greenhitz,1,2,0,1
greensboro,2,4,0,5
greenville,0,6,1,7
greenwald,1,1,0,2
greeting,4,5,0,4
greetings,0,5,1,2
greggutfeld,1,6,0,5
gregmitch,1,0,1,1
gregorpants,4,0,5,2
gregory_clay,8,1,0,9
greig,0,1,2,2
grievanceindustry,1,2,2,0
grievous,1,1,1,0
griffin,1,0,1,1
grimalkinrn,2,2,1,0
grimm,2,5,0,1
grinds,0,1,1,1
grips,1,3,1,0
gritty,0,1,1,2
groids,2,2,0,1
grooming,0,1,2,3
groove,2,2,0,3
groovesdc,2,2,0,4
grotesque,3,2,1,0
grouchygreg,1,0,3,1
grounded,1,1,2,0
groundhog,0,1,1,1
groundwork,1,2,0,1
groundzero,0,1,4,3
grove,1,4,0,30
groveofanaheim,0,1,1,1
growup,2,2,0,4
grp,1,0,3,3
grps,1,0,5,1
grrrrr,0,1,2,1
grudge,1,1,0,2
gs,2,1,0,5
gsfuse,0,1,1,1
gsr,3,9,0,2
gu,0,1,1,3
guantanamo,24,1,3,0
guardians,8,0,1,5
guardianudate,2,0,1,3
guarding,0,1,5,10
gubbeen,3,2,0,2
gubmint,0,1,1,1
guerrero,4,2,0,2
guidance,3,3,0,8
guinea,3,2,0,1
guinness,1,3,0,1
guise,0,3,2,3
guitarist,1,9,0,1
gullible,0,6,2,6
gulp,0,1,1,1
gunman,0,3,1,1
gunnuts,0,3,2,2
gunpowder,11,8,0,4
gupta,7,1,0,1
gurldujour,0,1,7,2
gus,1,1,0,1
gut,0,2,1,5
guts,5,9,0,4
gw,1,0,2,5
gwen,0,1,7,3
gwilliams1967,1,2,0,2
haaretzcom,1,1,0,2
habit,2,2,2,0
habits,0,2,2,1
habs,3,0,1,3
hacker,1,8,6,0
hacksperger,1,0,1,1
hadolfritler666,2,7,0,3
hahahah,0,11,1,2
hairextensionsforjustice,2,1,3,0
hairline,0,1,1,1
halfway,3,0,2,2
halfwits,2,8,0,1
hallways,2,1,0,3
halted,0,1,2,1
hamlet,0,1,3,8
hamont,1,2,9,0
hampshire,83,13,0,1
handbook,0,2,1,6
handedly,1,1,1,0
handgun,23,94,0,5
handguns,1,1,0,2
handicapped,1,5,1,0
handmade,0,1,1,1
handout,2,2,0,1
handshake,1,2,0,6
handup,1,1,0,2
hanged,3,0,3,2
hangin,1,0,1,1
hangover,0,2,1,1
hanley,2,5,0,1
hannahgraham,13,0,3,2
hannahology,1,0,1,4
happend,3,2,0,1
happeningnow,1,1,0,3
happier,0,1,3,4
happily,0,3,2,4
happyanniversary,2,2,1,0
harassers,1,1,0,2
harasses,5,1,0,2
harbaryhormi,1,2,0,2
harboring,1,5,2,0
hardcore,3,0,1,3
hardy,0,2,1,1
harmless,1,0,3,1
harmon,1,0,3,1
harness,1,1,0,1
harper,8,6,4,0
harping,1,2,0,1
harrass,1,2,4,0
harrassing,0,1,4,3
harrassment,3,1,0,2
harrietbaldwin,1,3,1,0
harrybelafonte,2,0,1,3
hartmann,2,0,4,1
harvest,1,2,0,1
hashtagging,0,1,1,3
hastag,0,1,2,1
hastings,0,1,2,5
hatchet,0,40,1,1
hatchharkness,0,7,4,3
hatemongers,1,1,3,0
hatespeech,1,0,2,1
hath,0,2,1,2
hatin,2,3,0,2
hauled,2,1,0,3
haunted,3,3,0,2
haunts,0,2,2,1
haus,1,2,5,0
havin,1,1,0,2
havtsay,0,4,1,1
hawk,1,0,1,20
hawkins,1,5,0,2
haygarth,1,0,2,1
hazing,1,1,0,1
hazmat,4,1,0,1
hbcus,1,1,0,3
hbs,2,0,2,2
hdcowboy,1,0,15,3
hea,1,0,1,1
headache,0,2,5,2
headbutt,7,0,1,17
headbutted,0,1,1,1
headlesseyes,1,0,1,2
headlights,0,2,1,2
headsup,2,2,0,5
healthandcents,1,1,0,1
heap,1,2,0,1
heaped,0,1,1,3
hearted,1,1,0,3
heartfelt,2,2,0,2
hearthiswell,2,7,0,3
heartwarming,0,1,1,2
heats,0,24,3,4
heavens,2,0,1,2
hebrew,7,6,3,0
hecklers,0,16,1,2
hectic,1,2,0,2
heelmanwilm,1,19,0,1
heidil_rn,2,1,0,1
heightened,1,2,0,2
helen,2,4,1,0
hellonwheelsamc,2,0,1,1
helluva,1,0,1,4
helm,1,1,0,1
helsingfors,2,1,0,4
henkil,2,4,0,5
henrik,2,2,1,0
herbert,2,0,2,1
hermann,2,0,1,4
hermez,11,0,17,14
heron,3,2,0,1
herе,2,1,2,0
hesitant,0,1,1,2
hewitt,3,2,0,1
hhms,1,0,1,3
hhooversghost,1,1,0,5
hhs,4,1,0,1
hid,4,17,0,4
hideous,2,2,0,5
hierarchy,3,0,1,3
highlighted,2,2,0,6
highways,0,10,2,3
hijacking,2,3,0,5
hijackitback,4,9,5,0
hike,1,1,0,1
hilarity,2,1,8,0
hilary,0,1,6,3
hillary2016,0,3,1,4
hillbilly,1,0,2,1
hinder,1,2,3,0
hindrance,1,0,1,1
hines,3,0,3,1
hiphop4justice,4,1,0,25
hiphopawards,263,1,1,0
hiphopcaucus,2,0,7,25
hiphopsince1987,2,0,1,3
hippies,0,2,3,3
hipster,0,3,1,6
hispanics,7,0,12,7
hissy,0,1,2,4
historian,3,0,5,2
historians,1,1,1,0
histories,0,8,1,1
hitmanholla,2,3,4,0
hitt,1,0,4,1
hkdemonow,1,0,1,1
hkstudentstrike,2,1,5,0
hln,0,2,2,3
hmmmmm,0,11,1,2
hmu,1,0,1,2
hoe,7,0,2,8
hol,3,0,2,1
holidays,8,5,0,2
holland,3,3,0,3
holloway,2,2,1,0
holly,4,16,0,5
holstered,1,8,1,0
holt,2,2,2,0
hom,0,2,1,1
homage,3,0,6,2
homegirl,1,1,0,2
homemade,2,2,1,0
homeowner,1,1,0,2
homeowners,2,12,0,1
homer,0,1,1,5
homocide,0,1,1,1
homophobic,7,0,3,1
homos,1,1,0,1
homosexual,1,0,1,3
homosexuality,2,2,0,1
honey,4,9,0,4
hongkongdemocracy,4,0,1,1
honoree,1,1,1,0
hoody,1,0,1,1
hooker,0,2,3,1
hooks,2,0,1,1
hooligan,3,1,1,0
hooray,2,2,2,0
hoosierworld,4,0,3,1
hopingforachang,2,1,0,2
hopped,1,2,0,2
horizon,0,4,3,3
horluwargbear,0,1,1,7
horne,0,1,1,1
horns,4,2,0,5
horrifyingly,1,1,1,0
horton,1,1,0,1
hos,1,1,1,0
hospitalized,1,1,1,0
hospitals,0,5,2,2
hostages,4,0,4,5
hot1079atl,4,1,0,4
hot97,0,3,7,1
hotbed,2,3,0,2
hotels,1,0,3,3
hotline,0,3,1,5
hotspots,0,1,1,2
hotspur,65,26,0,1
hottest,2,0,3,6
hounews,0,1,1,1
housegop,1,2,0,1
housewife,0,1,2,1
howardkurtz,1,0,1,1
howdymo,1,1,3,0
howl,1,1,0,2
hrc,1,1,0,2
hu,1,0,3,1
huckabee,1,1,0,4
hucksters,0,1,1,2
hud,2,2,0,2
hudson,0,1,1,1
hues,1,0,1,1
huff,0,7,5,6
huffpostbiz,7,2,0,1
huffpostsports,1,0,17,25
huffpostuk,2,0,1,1
hugely,2,2,0,1
hugged,0,5,1,2
hugging,2,6,0,2
